Neighbourhood;Prix Moyen
Ahuntsic-Cartierville;43.05
Anjou;46.08
Baie-d'Urfé;91.36
Beaconsfield;48.38
Côte-Saint-Luc;75.54
Côte-des-Neiges-Notre-Dame-de-Grâce;48.16
Dollard-des-Ormeaux;55.73
Dorval;68.44
Hampstead;49.0
Kirkland;69.41
L'Île-Bizard-Sainte-Geneviève;46.2
LaSalle;52.4
Lachine;52.74
Le Plateau-Mont-Royal;63.6
Le Sud-Ouest;52.25
Mercier-Hochelaga-Maisonneuve;45.34
Mont-Royal;60.29
Montréal-Est;31.95
Montréal-Nord;43.29
Montréal-Ouest;96.54
Outremont;54.34
Pierrefonds-Roxboro;43.4
Pointe-Claire;56.32
Rivière-des-Prairies-Pointe-aux-Trembles;335.53
Rosemont-La Petite-Patrie;43.86
Saint-Laurent;52.19
Saint-Léonard;45.68
Sainte-Anne-de-Bellevue;36.66
Verdun;43.68
Ville-Marie;69.86
Villeray-Saint-Michel-Parc-Extension;47.35
Westmount;66.3
